Time,Mx_f,My_f,Mz_f,B_z,a1,a2,b1,b2,f1,f2
0.006,-0.012410857557661529,0.9860891804011326,-0.11251018224513651,-19,922,406,889,347,-1,0
0.005,-0.017261063809448297,0.018569627485848502,-0.9931292492343918,-3,377,248,677,466,-3,1
0.001,-0.006589957406053847,0.9655044751358167,0.25752044876672786,-11,500,811,596,646,2,0
0.003,-0.0231648174859264,-0.12669196133202307,-0.9877133118296655,-14,205,885,709,218,1,2
0.011,0.01871816417927341,0.32047286347158893,0.9326474681155874,-3,292,309,566,814,-3,-2
0.014,-0.005528877371203343,-0.12772783617059738,0.9733055561926968,-9,708,629,707,653,-3,-3
0.014,-0.015565237938701768,0.9710558565499919,-0.14992640472290863,-16,372,200,265,699,-3,0
0.01,0.005569174249369089,0.4420181941033731,0.8829010065020707,19,924,379,318,581,-2,-1
0.014,-0.006493602102528577,-0.9136035373729492,0.35768841589067074,-4,608,653,109,160,-1,-2
0.001,-0.003609107478123444,0.471028025511773,0.8819635852875739,-9,126,365,557,469,3,3
0.014,0.002358091499739136,-0.31583497054458776,0.9292772251213972,-9,490,833,412,391,1,1
0.01,-0.012547509936736036,-0.968757499792097,-0.18675973436377893,-10,945,764,821,586,1,-3
0.003,0.0227225537348789,-0.9174347917346994,-0.38664241045820036,18,793,645,656,395,2,2
0.003,-0.010971004613607433,0.6915885021766285,-0.7169149299233819,-5,205,587,159,337,-2,-3
0.015,-0.002699209818551094,0.0759087755781842,0.9776776291192736,5,429,414,316,353,3,3
0.003,0.04017958506703636,-0.010532976553679045,-0.9952019989481742,19,900,151,761,108,3,0
0.005,-0.0013335628323933642,-0.3012858779736891,0.9463311297494267,-3,731,464,941,870,-1,0
0.014,0.025652467603120503,-0.9406898886798619,-0.27801231766624546,-5,417,348,583,565,3,0
0.001,0.0056476025161874555,0.8400940387832936,0.5415396316961557,10,584,415,720,618,-3,-1
0.01,-0.04168042696270425,-0.045215318374312315,-0.9850406235460629,-20,612,335,122,105,-1,1
0.007,-0.0008854866609837387,0.5406151307110204,0.8311718905049439,7,368,612,747,549,0,1
0.015,-0.015825127390756883,0.8862792702353579,0.4205533942848897,-10,693,639,176,425,2,2
0.003,0.010775123552440967,-0.32961607767633166,-0.9398949894563084,5,856,304,354,306,3,0
0.012,-0.011873387448872192,0.9786690751653794,-0.10810653733196378,-3,842,869,142,696,1,2
0.014,0.008889889506241772,0.5949557722219279,0.7818740513160676,-13,465,479,623,108,-2,-1
0.002,-0.02596178904215543,0.8264783629225882,-0.5580227295606567,-18,768,315,158,949,-3,1
0.007,-0.003778317599971181,0.28344963882248797,0.9498452231128468,-9,661,278,747,891,1,1
0.013,0.0508469356496019,0.7593812202761309,-0.6226142624355133,16,508,149,447,142,-2,-1
0.007,0.001094544009168908,-0.6974140236931765,0.7024516567391349,3,189,597,437,529,0,0
0.01,0.010598718139539784,-0.6570717271365524,0.734531825447174,20,232,323,125,667,1,0
0.002,-0.005407527844330883,0.9890942731828267,-0.13289846565939317,-5,745,108,470,692,1,-3
0.003,0.034649786158446834,-0.5133456599996742,-0.8528748519477924,18,657,571,726,435,3,2
0.008,0.0030982774414339614,-0.4201720536476208,0.8955313245472913,13,631,885,247,139,3,2
0.006,-0.025278442219238702,-0.5416945577861509,-0.830779856651094,-15,149,471,842,643,3,-1
0.013,0.017243414924671432,-0.7432641855864484,0.6423124907820458,7,917,467,705,958,-1,3
0.013,-0.020057605605519474,-0.7292381266519349,-0.6588736314145123,-20,877,879,635,433,1,-2
0.006,-0.001505515590566788,0.9549557047799514,0.27139908329763873,4,697,566,393,142,2,1
0.014,0.01644143981192324,0.5597676119756096,0.8072868092878126,3,646,295,651,197,-3,0
0.012,0.005934043858650801,-0.7998617835046992,0.5722671306749156,14,671,297,529,927,0,0
0.015,-0.003620531470640744,0.27996585739403557,0.9399759010664245,-4,433,843,620,170,2,-1
